Product SKU,Warranty
KLR004,"<div id=""how-to-text""><p>This multi-purpose facial polish can be used in a number of ways:</p><p> As a Blackhead Remover for Sensitive Skin Cleanse and massage your face with cleansing oil for 1 minute. Gently massage Black Sugar Scrub on the nose in a circular motion for 30 seconds, and rinse thoroughly with tepid water. Do a secondary cleansing with fine bubble cleanser. Apply your usual toner, serum and moisturiser from your skincare routine.</p><p>As a Facial Exfoliator for all Skin Types Mix a few drops of cleansing oil and Black Sugar Scrub. Gently massage the oil and scrub onto your face in a circular motion for between 30 seconds and 1 minute, then rinse thoroughly with tepid water. Do a secondary cleansing with fine bubble cleanser. Apply your usual toner, serum and moisturiser from your skincare routine. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Caprylic/Capric Triglyceride, Black Strap Powder, CETYL ETHYLHEXANOATE, PETROLATUM, GLYCERIN, TOCOPHERYL ACETATE, Candelilla Wax Esters, Butyrospermum Parkii (Shea Butter), PEG-7 Glyceryl Cocoate, Polysorbate 20, Microcrystalline Wax, Cetyl Alcohol, Glycyrrhiza Glabra (Licorice) Root Powder, Fragrance, Carapa Guaianensis Seed Oil, Vaccinium Macrocarpon (Cranberry) Seed Oil. </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
RB0012,"<div id=""how-to-text""><p>Apply on clean skin after cleansing and toning. Follow up with a moisturiser. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Centella Asiatica extract, water, dipropylene glycol, glycerin, niacinamide, 1,2-hexanediol, hippophae rhamnoides fruit extract, betaine, arginine, allantoin, panthenol, caprylyl glycol, polyglyceryl-10 laurate, saccharide hydrolysate, maltodextrin, carbomer, sodium hyaluronate, citrus aurantium dulcis (orange) oil, vetiveria zizanoides root oil, lavandula angustifolia (lavender) oil, adenosine, sodium phytate, hydrolyzed hyaluronic acid, madecassoside, cyanocobalamin, brassica campestris (rapeseed) sterols, cholesterol, hydrogenated lecithin, macadamia ternifolia seed oil, caprylic/capric triglyceride, dipotassium glycyrrhizate, asiaticoside, madecassic acid, asiatic acid, myristoyl/palmitoyl oxostearamide/arachamide mea, sorbitan stearate, cetearyl alcohol, glyceryl stearate, phytosterols, stearic acid, xanthan gum, calamine, acrylates/c10-30 alkyl acrylate crosspolymer, pentylene glycol </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
CSRX005,"<div id=""how-to-text""><p>Wash and dry the targeted area you want to treat. Don't apply any skin treatments or moisturizers between the patch and your skin. Choose a right size patch and apply it directly to skin imperfection. Remove in the morning.</p></div><div id=""ingredients-text""><p>Cellulose gum, Styrene Isoprene Styrene Block Copolymer, Polysobutylene, Petroleum Resin, Polyurethane Film, Liquid Paraffin, Tetrakis Methane Skinsider is an authorized distributor of COSRX cosmetics.</p></div>"
AQU004-2,"<div id=""how-to-text""><p>This mist is best to use immediately after washing face or shower, both mornings and nights. After cleansing, spray Jelly Mist directly on face and neck and gently pat in with hands. Follow up with rest of your skincare routine. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Butylene Glycol, Glycerin, Pentylene Glycol, Propanediol, Chinensis Fruit Extract, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Threonine, Proline, Valine, Isoleucine, Histidine, Methionine, Cysteine, Ceramide NP, Hydrogenated Lecithin, Gellan Gum, Hinokitiol, Disodium EDTA, Sodium Chloride, Cacium lacatate, Ethylhexylglycerin, Caprylyl Glycol, 1,2-Hexanediol </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
BNT0013,"<div id=""how-to-text""><p>Use at the last step of skincare by applying a suitable amount and spread evenly until absorbed. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Centella Asiatica Extract(42%), Aqua (Water), Calamine(10%), Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Pentylene Glycol, Cetearyl Alcohol, Cetearyl Olivate, Glyceryl Stearate, Sorbitan Olivate, Glyceryl Caprylate, Houttuynia Cordata Extract, Enantia Chlorantha Bark Extract, Asiatic Acid, Madecassic Acid, Asiaticoside, Madecassoside, Ammonium Acryloyldimethyltaurate/VP Copolymer, Butylene Glycol, Dipotassium Glycyrrhizate, Propanediol, Sodium Gluconate, Oleanolic Acid, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Mentha Piperita (Peppermint) Oil, Hydrogenated phosphatidylcholine, 1,2-Hexanediol, Sucrose Stearate, Xanthan Gum </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
URG0004,"<div id=""how-to-text""><p>Massage 1-2 drops onto face after cleansing and applying a toner. Can be used alone, or added to your favourite moisturizer or a toner. TIP: Mix 1-3 drops of the Vitamin Oil Serum with the Rose Ceramide Cream. For radiant make-up mix the serum oil with your BB cream. RECOMMENDATIONS: </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Simmondsia Chinensis (Jojoba) Seed Oil*, Rosa Moschata Seed Oil*, Tocopherol, Lavandula Angustifolia (Lavender) Oil*, Rose Flower Oil, Commiphora Myrrha Oil, Boswellia Carteri Oil, Aniba Rosaeodora (Rosewood) Wood Oil (*Organic Ingredient) </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
CSRX023,"<div id=""how-to-text""><p>Apply a generous amount on over face 30 minutes before sun exposure. Reapply throughout the day as needed, especially during prolonged sun exposure.</p></div><div id=""ingredients-text""><p>Water, Homosalate , Alcohol Denat. , Octocrylene ,Butylene Glycol , Ethylhexyl Salicylate, Acrylates Copolymer, Butyl Methoxydibenzoylmethane, Diphenylsiloxy Phenyl Trimethicone, Methyl Methacrylate Crosspolymer, Pentylene Glycol, Polymethylsilsesquioxane, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Isohexadecane, Beheneth-25, Caprylyl Glycol, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Polysorbate 80, Sorbitan Oleate, Citrus Nobilis (Mandarin Orange) Peel Oil, Disodium EDTA, Ocimum Basilicum (Basil) Oil, Allantoin, Panthenol, Dipropylene Glycol, Maltodextrin, Moringa Pterygosperma Seed Extract, Sodium Palmitoyl Proline, 1,2-Hexanediol, Snail Secretion Filtrate, Nymphaea Alba Flower Extract, Hyaluronic Acid, Ethylhexylglycerin, Pinus Pinaster Bark Extract, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
RB0011,
KLR038,"<div id=""how-to-text""><p>1) Apply toner after cleansing. 2) At your moisturizer step, apply an adequate amount of the product around your eyes. 3) Finish your routine with a face moisturizer. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Aqua (Water), Glycerin, Stearic Acid, 1,2-Hexanediol, Helianthus Annuus (Sunflower) Seed Oil, Betaine, Caffeine, Phaseolus Angularis Seed Extract, Artemisia Princeps Leaf Extract, Camellia Sinensis Leaf Extract, Chaenomeles Sinensis Fruit Extract, Chrysanthellum Indicum Extract, Cinnamomum Cassia Bark Extract, Corallina Officinalis Extract, Curcuma Longa (Turmeric) Root Extract, Diospyros Kaki Leaf Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Ocimum Sanctum Leaf Extract, Acetyl Hexapeptide-8, Copper Tripeptide-1, Oligopeptide-29, Oligopeptide-32, Panthenol, Pantolactone, Hydrogenated Lecithin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate, Glyceryl Stearate, Sorbitan Isostearate, Cetearyl Alcohol, Propanediol, Arachidic Acid, Oleic Acid, Palmitic Acid, Caprylyl/Capryl Glucoside, Ethylhexylglycerin </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
FRD002,"<div id=""how-to-text""><p>Apply regularly for soft, hydrated lips.</p></div><div id=""ingredients-text""><p>Petrolatum, Hydrogenated Polyisobutene, Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate, Mentha Arvensis Leaf Oil(Limonene), Menthol, Diisostearyl Malate, Coco-Caprylate/Caprate, Mentha Viridis (Spearmint) Leaf Oil(Limonene), Aluminum Hydroxide, Butyrospermum Parkii (Shea) Butter, Punica Granatum Fruit Extract, Vitis Vinifera (Grape) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Water, 1,2-Hexanediol, Anemarrhena Asphodeloides Root Extract, Butylene Glycol, Solanum Lycopersicum (Tomato) Seed Oil, Punica Granatum Seed Oil, Mangifera Indica (Mango) Seed Oil, Citrus Paradisi (Grapefruit) Seed Oil, Tocopherol, Honey Extract, Zingiber Officinale (Ginger) Root Extract, Ethylhexylglycerin, Citric Acid, Phenoxyethanol, CI 73360 </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging. </p></div>"
CSRX028,"<div id=""how-to-text""><p>Gently tap cream around the eye area and wait a few minutes for the skin to absorb it before you apply a makeup. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Snail Secretion Filtrate, Butylene Glycol, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, 1,2 Hexanediol, Niacinamide, Water, Palmitic Acid, Arginine, Carbomer, Stearic Acid, Betaine, Cetearyl Olivate, Sorbitan Olivate, Sodium Polyacrylate, Allantoin, Tocopheryl Acetate, Panthenol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Hyaluronate, Adenosine, Xanthan Gum, Myristic Acid, Copper Tripeptide 1, Acetyl Hexapeptide 8, Palmitoyl Pentapeptide 4, Palmitoyl Tripeptide 1, Palmitoyl Tetrapeptide 7 </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
RB0004,"<div id=""how-to-text""><p>Use as the third step of your skincare routine, after cleansing. Shake well before using and spray on to your face from about 6 inches away. Avoid the eye area. Follow with the remainder of your routine. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Propanediol, Panthenol, water, Glycerin, Viscum album (mistletoe) fruit extract, 1,2-Hexanediol, Water, Caprylic/Capric Triglyceride, Myristoyl/Palmitoyl Oxostearamide/Arachamide mea, Sorbitan Stearate, Cetearyl Alcohol, Glyceryl Stearate, Phytosterols, Caprylyl glycol, Stearic acid, Xanthan gum, Dihydroxyisopropyl Palmoylpalmamide, Hydrolyzed hyaluronic acid, Water, Butylene Glycol, Glycerin, Palmitoyl Pentapeptide-4, Polyglyceryl-10 laurate, Caprylyl Glycol, 1,2-Hexanediol, Microcrystalline Cellulose, Cellulose gum, Allantoin, Madecassoside, 1,2-Hexanediol, Caprylyl glycol, Parfum </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
AQU003,"<div id=""how-to-text""><p>After cleansing and toning skin, place sheet mask over face and leave on for 15-20 minutes. It can be especially refreshing if placed in refrigerator prior to using. If you have sensitive skin we recommend applying this mask for a shorter for 10-15 minutes. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Butylene Glycol, Niacinamide, Glycerin, 1,2-Hexanediol, Caprylyl Glycol, Propanediol, Betaine, Allantoin, Centella Asiatica Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Schisandra Chinensis Fruit Extract, Ethylhexylglycerin, Chlorphenesin, Hydroxyethylcellulose, Carbomer 940, Arginine </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
SIO010,"<div id=""how-to-text""><p>After cleansing and toning and serum apply 1-2 pumps of cream as your last stage of skincare. Finish with a sunscreen.</p></div><div id=""ingredients-text""><p>*Prunus Mume Fruit Water (74%), Schisandra Chinenesis Fruit Extract (6%), Squalane, Propanediol, Calendula Officinalis Flower Extract, Isoamyl Laurate, Cetearyl Olivate, Water, Butylene Glycol, Cetearyl Alcohol, Sorbitan Olivate, Panthenol, Hydrogenated Vegetable Oil, Salix Alba (Willow) Bark Extract, Hydrogenated Olive Oil, Olea Europaea (Olive) Fruit Oil, Olea Europaea (Olive) Oil Unsaponifiables, Ceramide NP, Allantoin, Sodium Hyaluronate, Arginine, Tocopherol, Glycerin, Raphanus Sativus (Radish) Root Extract, Scutellaria Baicalensis Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Paeonis Suffruticosa Root Extract, p-Anisic Acid, Pelargonium Graveolens Flower Oil, Dulcis (Orange) Peel Oil, Amyris Balsamifera Bark Oil, Helianthus Annuus (Sunflower) Seed Oil *ORGANIC FARMING </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
CSRX039-1,"<div id=""how-to-text""><p>You can use this toner to wipe away residue after cleansing and when you pat onto your skin. In addition, if your skin feels extra dry and heated, you can soak the cotton pads with this toner and use it as a toner sheet mask. Also, it can be used as a mist during the day when your skin feels dry. Lastly, you can wash your face with the toner when your skin stimulated with dryness. Just mix this toner and water by the ratio of 8:2, and rinse your face at the last of cleansing routine. Don't wipe your face with a towel just tap gently your skin until the product is absorbed. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Butylene Glycol, Glycerin, 1,2-Hexanediol, Allantoin, Panthenol, Sodium Hyaluronate, Pentylene Glycol, Sodium hyaluronate Crosspolymer, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Ethylhexylglycerin, Hydrolyzed Sodium Hyaluronate </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
JMO0003,"<div id=""how-to-text""><p>Place the cotton side sheet mask over cleansed and toned face. Carefully peel away and discard the mesh layer. Leave on for 10-20 minutes. Remove gently, massage remaining serum into skin.</p></div><div id=""ingredients-text""><p>Water, Glycerin, Methylpropanediol, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Saccharomyces Ferment Filtrate, Lactobacillus Ferment, Pueraria Lobata Root Extract, Paeonia Lactiflora Root Extract, Dioscorea Japonica Root Extract, Niacinamide, Calcium Pantothenate, Sodium Ascorbyl Phosphate, Tocopheryl Acetate, Pyridoxine HCl, Maltodextrin, Silica, Sodium Starch Octenylsuccinate, Ceramide NP, Ceramide NS, Triethylhexanoin, Butyrospermum Parkii (Shea Butter), Butylene Glycol 1,2-Hexanediol, Hydrogenated Lecithin, Panax Ginseng Root Extract, Argania Spinosa Kernel Oil, Hydroxyethylcellulose, Xanthan Gum, Carbomer, Scutellaria Baicalensis Root Extract, Ethylhexylglycerin, Glyceryl Caprylate, Aloe Barbadensis Leaf Juice, Caffeine, PEG-32, Panthenol, Allantoin, Dehydroacetic Acid, Arginine, PEG-60 Hydrogenated Castor Oil, Fragrance, Chlorphenesin, Disodium EDTA </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
KLR00023,"<div id=""how-to-text""><p>Double cleansing routine: Apply Klairs Gentle Black Deep Cleansing Oil on a dry skin and massage gently to remove makeup, dirt, and any impurities. Wash your face with a lukewarm water and apply a foam cleanser. Follow up with a toner. For better effect, check 1+1 method. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Klairs Gentle Black Deep Cleansing Oil Black Currant Seed Oil, Soybean Oil, Sesame Seed Oil, Jojoba Oil Parkii (Shea Butter), Carapa Guaianensis Seed oil, Vaccinium Macrocarpon (Cranberry) Seed Oil, Caprylic/ CapricTriglycerideï¼ Cetyl Ethylhexanoateï¼ IsononylIsononanoateï¼ PEG-7 Glyceryl Cocoate, Isopropyl Myristate, Simmondsia Chinensis(Jojoba) seed oil, Glycine Soja (Soybean) oil, Sesamum Indicum (Sasame) Seed oil, Ribes Nigrum (Black Current) Seed oil, Tocopheryl Acetate, PEG- Glyceryl Triisostearate , Polysorbate 20, Fragrance, Butyrospermum Caprylic/ CapricTriglycerideï¼ Cetyl Ethylhexanoateï¼ IsononylIsononanoateï¼ PEG-7 Glyceryl Cocoate, Isopropyl Myristate, Simmondsia Chinensis(Jojoba) seed oil, Glycine Soja (Soybean) oil, Sesamum Indicum (Sasame) Seed oil, Ribes Nigrum (Black Current) Seed oil, Tocopheryl Acetate, PEG- Glyceryl Triisostearate , Polysorbate 20, Fragrance, Butyrospermum Parkii (She Butter), Carapa Guaianensis Seed oil, Vaccinium Macrocarpon (Cranberry) Seed Oil. Klairs Rich Moist Foaming Cleanser Water, Sodium Lauroyl Sarcosinate, Glycerin, Propylen Glycol, Lauric Acid, Caprylic/Capric Triglyceride, Sodium, Hyaluronate, Dimethyl Sulfone, Potassium Hydroxide, Glycyrrhiza Glabra (Licorice) Root Extract, Betaine, Stearic Acid, Chamaecyparis Obtusa Water, Ananas Sativus(Pineapple) Fruit Extract, Chlorphenesin, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Illicium Verum (Anise) Fruit Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Nelumbium Speciosum Flower Extract, Paeonia Suffruticosa Root Extract, Scutellaria Baicalensis Root Extract, Panthenol, Citric Acid, Pyridoxine, Linum Usitatissimum (Linseed) Seed Extract, Hibiscus Esculentus Fruit Extract, Aloe Barbadensis Leaf Juice, Arctium Lappa Root Extract, Hibiscus Mutabilis Flower Extract, Corchorus Olitorius Leaf Extract, Hydrolyzed Pea Protein, Lecithin, Olea Europaea (Olive) Fruit Oil, Phytosterols, Squalane, Butyrospermum Parkii (Shea Butter), Ceramide 3, Propanediol, Apium Graveolens (Celery) Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Brassica Oleracea Italica (Broccoli) Extract, Brassica Rapa (Turnip) Leaf Extract, Daucus Carota Sativa (Carrot) Root Extract, Oryza Sativa (Rice) Bran Extract, Solanum, Lycopersicum (Tomato) Fruit/Leaf/Stem Extract, Lysine HCl, Proline, Sodium Ascorbyl Phosphate, Acetyl Methionine, Theanine, Tocopheryl Acetate, Panax Ginseng Callus Culture Extract, Piper Methysticum Leaf/Root/Stem Extract, Centella Asiatica Extract, Portulaca Oleracea Extract, Beta-Glucan, Papain. </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
TIA0001,"<div id=""how-to-text""><p>Apply on clean and toned skin. Apply 1-2 drops of the Serum on hand and apply on the skin. Avoid sensitive areas such as eyes and lips or any areas of irritated skin. Please note: a slight tingling sensation may occur. Finish with your favourite moisturizer. When introducing this product, we recommend not to use other acid products at the same time. Also, use this product with the sunscreen to avoid skin sensitivity. We recommend using it for your night routine. Always use sun cream to protect the skin from sun irritation and UVA. We always recommend to do a patch test on a neck. If there is no skin reaction start using the product once a week. Increase the usage depending on how skin reacts. Storage instructions: Always store in a place away from light/ sunlight. Store in refrigerator or cool, shaded place. Always keep product clean and tightly sealed to prevent impurities from touching the product.</p></div><div id=""ingredients-text""><p>Water, Ascorbic Acid, Alcohol, Sodium Lactate, Butylene Glycol, Glucose, PEG-60 Hydrogenated Castor Oil, 1,2-Hexanediol, Phenoxyethanol, Sodium Hyaluronate, Bis-PEG-18 Methyl Ether Dimethyl Silane, Xanthan Gum, Diethoxyethyl Succinate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Carthamus Tinctorius (Safflower) Flower Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Glycerin, Zinc PCA, Panthenol, Niacinamide, t-Butyl Alcohol, Camellia Sinensis Leaf Extract, Beta-Glucan, Tocopheryl Acetate, Lecithin, Caprylic/Capric Triglyceride, Ubiquinone, Diisopropyl Adipate </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
URG0008,"<div id=""how-to-text""><p>Use in the morning and evening. Apply an essence after cleanser and toner. Follow up with the Urang moisturiser. RECOMMENDATIONS: </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Urang True Rose Repair Essence Rosa Damascena Flower Water* (50.7%), Water, Glycerin* (7%), Sclerotium Gum, Betaine, Salix Alba (Willow) Bark Extract, Paeonia Suffruticosa Root Extract, Centella Asiatica Extract, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Rosa Damascena Flower Oil (0.1%), Aloe Barbadensis Leaf Extract* (0.05% (*Organic Ingredient) Urang Rose Ceramide Cream **Rosa DamascenaFlower Water(33%), Aqua, Caprylic/CapricTriglyceride, GlycerylStearateSE, Glycerin, Betaine, Macadamia IntegrifoliaSeed Oil, CetearylAlcohol, ButyrospermumParkii(Shea) Butter, ChamaecyparisObtusaLeaf Extract, Rosa RugosaLeaf Extract, Melissa OfficinalisLeaf Extract,SaccharomycesFerment Filtrate, CryptomeriaJaponica Leaf Extract, NelumboNuciferaLeaf Extract, ImperataCylindricaRoot Extract, Bacillus/Soybean Ferment Extract, CetylAlcohol, **Helianthus Annuus(Sunflower) Seed Oil, **SimmondsiaChinensis(Jojoba) Seed Oil, CeramideNP(1500ppm), Rosa CaninaFruit Oil, Rosa DamascenaFlower Oil(20mg), *Parfum(Fragrance), *Geraniol **Organic ingredient *From natural essential oils CeramideNP: ECOCERT certified natural Allergen is now indicated on label (*Geraniol). -Geraniolis from natural essential oils and not put in purposefully. </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging. </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
HMS0002,"<div id=""how-to-text""><p>Take two pieces and place them directly under the eyes or wherever your skin needs extra care. Leave on for 20-30 minutes--these hydrogel material will stay moist for longer than most mask products. Pat in any remaining serum with fingertips. Follow with eye cream. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Water, Glycerin, Niacinamide, Chondrus Crispus (Carrageenan), Butylene Glycol, Cocos Nucifera (Coconut) Fruit Extract, Pinus Sylvestris Leaf Extract, Propanediol, Pentylene Glycol, Rosa Damascena Flower Water, Nelumbo Nucifera Flower Extract, Portulaca Oleracea Extract, Hamamelis Virginiana (Witch Hazel) Extract, Centella Asiatica Extract, Ethylhexylglycerin, Sodium Hyaluronate, Dipotassium Glycyrrhizate, PEG-60 Hydrogenated Castor Oil, Ceratonia Siliqua Gum, Sucrose, Potassium Chloride, Cyamopsis Tetragonoloba (Guar) Gum, Calcium Chloride, Allantoin, Tripropylene Glycol, Dipropylene Glycol, Cellulose Gum, Chondrus Crispus Powder, Ricinus Communis (Castor) Seed Oil, Calcium Aluminum Borosilicate, Tin Oxide, Carmine, Calcium Lactate, Adenosine, Synthetic Fluorphlogopite, Titanium Dioxide, Disodium EDTA, Ethyl Hexanidiol, 1,2-Hexanediol, Chlorphenesin, Arginine, Fragrance </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
URG0021,"<div id=""how-to-text""><p>Urang's Love Masks are a cleaner and more hygienic way to use sheet masks. 1. Divide the heart in half so that one half holds the dry mask and the other the wet essence. 2. Open the pouch zipper and pour the fresh essence into the half that contains the dry sheet. Close the pouch zipper and soak the sheet completely with essence. 3. Apply and enjoy the freshly prepared mask to your face. Any remaining essence can be used on your neck and arms. 4. Remove after 10-15 minutes. Follow with 1-2 drops Urang oil serum or cream to maximize results. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Centella Asiatica Leaf Water*, Water, Glycerin*, Pentylene Glycol, Opuntia Humifusa Flower/Stem Extract*, Sclerotium Gum, Usnea Barbata (Lichen) Extract, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower*, Citric Acid (* Organic ingredient / 63%) </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
LGM007,"<div id=""how-to-text""><p>0</p></div><div id=""ingredients-text""><p>0</p></div>"
KLR021,"<div id=""how-to-text""><p>Before opening, rub lightly for the sheet and liquid to mix well. Apply on a clean/toned skin. Wait 15-20 minutes, and gently remove the mask. Tap lightly to let the essence fully absorb.</p></div><div id=""ingredients-text""><p>Water, Butylene Glycol, Methylpropanediol, Glycereth-26, 1,2 Hexanediol, Salix Alba (Willow) Bark Extract, Glycerin, Erythritol, Arginine, Carbomer, Carrageenan, Betaine, Allantoin, Ethylhexylglycerin, Propanediol, Polyglyceryl-10 Laurate, Glyceryl Acrylate/Acrylic Acid Copolymer, PVM/MA Copolymer, Disodium EDTA, Dipotassium Glycyrrhizate, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Centella Asiatica Extract. </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
CSRX011,"<div id=""how-to-text""><p>Use this moisturiser as the last step of your skin routine. Dispense a small amount of lotion into the palms of your hands and gently smooth on to the skin until it is absorbed. </p><p>We recommend doing a patch test on a wrist or behind the ear before using any new product.</p></div><div id=""ingredients-text""><p>Betula Platyphylla Japonica Juice, Butylene Glycol, Glycerin, Dimethicone, Betaine, Cetearyl Alcohol,1,2-Hexanediol, Cetearyl Olivate, Sorbitan Olivate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Lactate, Ethylhexylglycerin, Sodium Hyaluronate, Allantoin, Panthenol, Xanthan Gum, Ethyl Hexanediol, Citrus Medica Limonum (Lemon) Peel Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil </p><p>Ingredients are subject to change at the manufacturer's discretion. For the most complete and up-to-date list of ingredients, refer to the product packaging.</p></div>"
